Compound name;Flavor profile;Fine-flavor note;Fine-flavor cocoa;Bulk cocoa;Fermentation;Drying;Roasting;America;Africa;Asia
1,3-Butanediol;Sweet, flowery, caramel;1;1;1;1;1;1;1;1;0
2-Phenethyl alcohol;Floral;1;0;1;0;0;1;0;1;0
2-Methylbutyl acetate;overripe fruit, banana, fruit, sweet, peanut, juicy;1;0;1;0;0;1;0;1;0
Ethyl phenyl acetate;Fruity, sweet;1;0;1;0;0;1;0;1;0
2-Phenyl ethyl acetate;Honey, floral;1;0;1;0;0;1;1;1;1
Butylbenzoate;Unknown;0;0;1;0;0;1;0;1;0
Cis-ocimene;Unknown;0;0;1;0;0;1;0;1;0
Epoxylinalol;Unknown;0;0;1;0;0;1;0;1;0
Isobutanal;Unknown;0;0;1;0;0;1;0;1;0
2-Phenyl-2-butenal;Sweet, roasted;1;1;1;0;1;1;1;1;0
Methyl phenyl;Unknown;0;0;1;0;0;1;0;1;0
pentenal;Unknown;0;0;1;0;0;1;0;1;0
2-Propanone;Unknown;0;0;1;0;0;1;0;1;0
2-Hydroxy-3-methyl-2-cyclopenten-1-one;Unknown;0;0;1;0;0;1;0;1;0
Ethylpyrazine;Peanut butter, musty, nutty;1;0;1;0;0;1;0;1;0
2,3-Dimethylpyrazine2-Ethyl-6-methylpyrazine;Unknown;0;0;1;0;0;1;0;1;0
2-Ethyl-5- methylpyrazine;Unknown;0;0;1;0;0;1;0;1;0
5-Ethyl-2,3-dimethylpyrazine;burnt, popcorn;0;0;1;0;0;1;0;1;0
2-Isoamyl-6-methylpyrazine;Unknown;0;0;1;0;0;1;0;1;0
2-Acetyl-3-methylpyrazine;roasted, toasted, vegetable, grain, nutty;1;0;1;0;0;1;0;1;0
2-Methyl 5H-6,7-dihydrocyclopentapyrazine;Unknown;0;0;1;0;0;1;0;1;0
Rose oxide;red rose, fresh, geranium, spicy, green;1;0;1;0;0;1;0;1;0
2-Acetylfuran;caramel, tobacco, balsamic, potato, coffee, sweet, cocoa, peanut, balsam, almond, beef;1;0;1;0;0;1;0;1;0
Gamma-butyrolactone;caramel, sweet;1;0;1;0;0;1;0;1;0
Furfuryl alcohol;coffee, alcoholic, bitter, musty, chemical, caramel, sweet, burnt, bread;0;0;1;0;0;1;1;1;0
2(5H)-furanone;buttery;0;0;1;0;0;1;0;1;0
Tetrahydro-2H-pyran-2-one;Unknown;0;0;1;0;0;1;0;1;0
5,6-Dihydro-4-methyl-2H-pyran-2-one;Unknown;0;0;1;0;0;1;0;1;0
2H-pyran-2-one;Unknown;0;0;1;0;0;1;0;1;0
Pantoic lactone;Unknown;0;0;1;0;0;1;0;1;0
2,5-Dimethyl-4-hydroxy-3(2H)-furanone;Caramel, strawberry;1;0;1;0;0;1;0;1;0
2,3-Dihydro-3,5-dihydroxy-6-methyl-4H-pyran-4-one;Unknown;0;1;1;0;0;1;1;1;1
Isoamylpyrrole;Unknown;0;0;1;0;0;1;0;1;0
1-Ethyl-2-formylpyrrole;Unknown;0;0;1;0;0;1;0;1;0
2-Formyl-1-methylpyrrole;Unknown;0;0;1;0;0;1;0;1;0
1-Isoamyl-2-formylpyrrole;Unknown;0;0;1;0;0;1;0;1;0
2-Formylpyrrole;Unknown;0;1;1;0;0;1;1;1;0
Dimethyldisulfide;sulfurous, gasoline;0;0;1;0;0;1;1;1;1
Dimethyltrisulfide;Cabbage;0;0;1;0;0;1;1;1;1
2-Methoxyphenol;smoky, repulsive;0;0;1;1;0;1;1;1;1
Phenol;smoky, repulsive;0;0;1;0;0;1;0;1;0
2-Amino-6-(tertbutyl) pyridine;Unknown;0;0;1;0;0;1;0;1;0
2-Pyrrolidinone;Unknown;0;1;1;0;0;1;1;1;0
Hexanoic acid;Fatty acid, cheese, sweat, rancid, sweet and vinegar;0;1;0;1;1;1;1;0;0
Propanedioic acid;Sweat, pungent;1;1;0;1;0;0;1;0;0
Heptanoic acid;Rancid, sour, cheesy, sweat;0;1;0;1;0;0;1;0;0
Octanoic acid;Sweaty, fatty;0;1;0;1;1;0;1;0;0
Benzoic acid;Urine;0;1;0;1;1;0;1;0;0
2-Methyl-3-buten-2-ol;Herbal;1;1;0;1;1;0;1;0;0
2-Pentanol;Light, seedy, sharp, green;0;1;1;1;1;1;1;1;0
Guaiacol;Smoky, phenol, spicy;1;1;0;1;1;0;1;0;0
Benzenepropanol;Spicy, cinnamon, fruity, floral;1;1;0;1;0;0;1;0;0
2-Methylpropanal;Malt and chocolate;1;1;1;1;1;1;1;1;1
3-(Methylthio)-propanal;Sulfurous, onion, vegetable;0;1;0;1;1;0;1;0;0
(E,E)-2,4-Heptadienal;Nut, fat;1;1;0;1;0;0;1;0;0
5-Methyl-2-furancarboxaldehyde;Caramellic, bready, coffee-like;1;1;0;1;0;0;1;0;0
2-Methyl-Benzaldehyde;Cherry;1;1;0;1;1;0;1;0;0
Hexadecanal;Honey floral rose sweet;1;1;0;1;0;0;1;0;0
3-Ethyl-benzaldehyde;Unknown;0;1;0;1;1;0;1;0;0
4-Ethyl-benzaldehyde;Fruity;1;1;0;1;0;0;1;0;0
2-Phenylpropenal;Green;0;1;0;1;0;0;1;0;0
3-Phenyl-2-propenal;spicy;1;1;0;1;0;0;1;0;0
(E)-Cinnamaldehyde;Cinnamon, paint;1;1;0;1;0;0;1;0;0
2-phenylbut-2-enal;Floral, honey, powdery, cocoa;1;1;0;1;0;1;1;0;0
(E)-3-Penten-2-one;Fruity acetone phenolic fishy;1;1;0;1;0;0;1;0;0
3-Methylacetophenone;Unknown;0;1;0;1;0;0;1;0;0
